index,Site,Species,Foliage,SampleDate,SiteID,SpeciesID,ID,TreeAge,Expt.Date,FreshWeight,Weight.in.Water,TurgidWeight,DryWt,Data.Collection.Site,ComputracMC,Notes,Diam,LatinName,CommonName,Latitude,Longitude,Elevation,H2Otemp,H2Odens,Safresh,Thickfresh,DryWt,SLA_f,Conversion,SA_one_m,SA_all_m,d.wt.kg,SLA_one_mkg,SLA_all_mkg,f.wt.kg,s.wt.kg,LFMC,VWM,RWC,SLA_m_kg,LMA_kg_m,Vol_F_m,SAV_m,k,mes.mech.LFMC,week.of.year,doy,year
1,Blue Mountain,PINPON,New,6/23/2022,20,4,11680,mature,6/23/2022,0.01602,-0.00022,0.01794,0.0048,5,0,NA,1.580000043,Pinus ponderosa,Ponderosa Pine,46.82981,-114.11812,NA,23.5,0.997439981,32.32,1.58,0.0048,13.46666667,2.2,3.23E-05,7.11E-05,4.80E-06,6.733333333,14.81333333,1.60E-05,1.79E-05,233.7499838,688.3921964,85.38812941,14.81333333,0.067506754,1.63E-08,4362.516918,806.1919159,233.7499838,25,174,2022
1,Blue Mountain,PINPON,New,7/27/2022,20,4,11822,mature,7/27/2022,0.049710002,0.00058,0.055539999,0.018449999,5,0,NA,1.289999962,Pinus ponderosa,Ponderosa Pine,46.82981,-114.11812,NA,26.5,0.996680021,107.61,1.29,0.01845,11.66504065,2.2,0.00010761,0.000236742,1.84E-05,5.832520325,12.83154472,4.97E-05,5.55E-05,169.4309129,633.4902345,84.2814845,12.83154472,0.077932937,4.93E-08,4797.624234,751.6363034,169.4309129,30,208,2022
1,Blue Mountain,PINPON,New,8/25/2022,20,4,11345,mature,8/26/2022,0.07198,-0.00174,0.081040002,0.028899999,5,0,NA,1.389999986,Pinus ponderosa,Ponderosa Pine,46.82981,-114.11812,NA,24,0.997319996,140.59,1.39,0.0289,9.729411765,2.2,0.00014059,0.000309298,2.89E-05,4.864705882,10.70235294,7.20E-05,8.10E-05,149.0657481,582.1932694,82.62370094,10.70235294,0.093437395,7.40E-08,4179.926021,704.632282,149.0657481,34,237,2022
1,Blue Mountain,PINPON,New,9/20/2022,20,4,11188,mature,9/20/2022,0.060880002,-0.00055,0.069219999,0.02558,5,0,NA,0.839999974,Pinus ponderosa,Ponderosa Pine,46.82981,-114.11812,NA,24,0.997319996,95.15,0.84,0.02558,7.439405786,2.2,9.52E-05,0.00020933,2.56E-05,3.719702893,8.183346364,6.09E-05,6.92E-05,137.9984414,572.4940857,80.88909809,8.183346364,0.122199399,6.17E-08,3394.906001,707.7518469,137.9984414,38,263,2022
1,Blue Mountain,PINPON,Old,6/23/2022,20,4,11668,mature,6/23/2022,0.046769999,0.00061,0.0546,0.023159999,5,0,NA,1.529999971,Pinus ponderosa,Ponderosa Pine,46.82981,-114.11812,NA,23.5,0.997439981,NA,NA,NA,NA,NA,NA,NA,2.32E-05,NA,NA,4.68E-05,5.46E-05,101.943006,509.6350681,75.09541613,NA,NA,4.63E-08,NA,678.6500353,NA,25,174,2022
1,Blue Mountain,PINPON,Old,7/27/2022,20,4,11834,mature,7/27/2022,0.04408,0.00035,0.05085,0.019850001,5,0,NA,1.480000019,Pinus ponderosa,Ponderosa Pine,46.82981,-114.11812,NA,26.5,0.996680021,73.92,1.48,0.01985,7.447858942,2.3,7.39E-05,0.000170016,1.99E-05,3.723929471,8.565037783,4.41E-05,5.09E-05,122.0654848,551.6601636,78.16129041,8.565037783,0.116753722,4.39E-08,3870.86487,705.7971544,122.0654848,30,208,2022
1,Blue Mountain,PINPON,Old,8/25/2022,20,4,11333,mature,8/26/2022,0.064750001,0.00086,0.071269996,0.029279999,5,0,NA,1.519999981,Pinus ponderosa,Ponderosa Pine,46.82981,-114.11812,NA,24,0.997319996,114.91,1.52,0.02928,7.849043716,2.3,0.00011491,0.000264293,2.93E-05,3.924521858,9.026400273,6.48E-05,7.13E-05,121.1407175,553.1018601,84.47250276,9.026400273,0.110786133,6.41E-08,4121.255826,654.7714842,121.1407175,34,237,2022
1,Blue Mountain,PINPON,Old,9/20/2022,20,4,11201,mature,9/20/2022,0.064379998,-0.00096,0.074660003,0.029920001,5,0,NA,0.980000019,Pinus ponderosa,Ponderosa Pine,46.82981,-114.11812,NA,24,0.997319996,112.86,0.98,0.02992,7.544117647,2.3,0.00011286,0.000259578,2.99E-05,3.772058824,8.675735294,6.44E-05,7.47E-05,115.1737844,525.4276564,77.02278713,8.675735294,0.115264008,6.56E-08,3957.906912,682.1717,115.1737844,38,263,2022
1,Blue Mountain,PSEMEN,New,6/30/2022,20,2,10767,mature,6/30/2022,0.01029,-0.00105,0.0111,0.00672,5,0,NA,1.210000038,Pseudotsuga menzeseii,Douglas Fir,46.82981,-114.11812,NA,24.5,0.997200012,27.77,NA,0.00672,8.264880952,2.3,2.78E-05,6.39E-05,6.72E-06,4.132440476,9.504613095,1.03E-05,1.11E-05,53.1249961,313.6025849,81.50684597,9.504613095,0.105212067,1.14E-08,5610.675721,384.7561283,53.1249961,26,181,2022
1,Blue Mountain,PSEMEN,New,7/27/2022,20,2,10815,mature,7/27/2022,0.01459,-0.00146,0.01521,0.00547,5,0,NA,NA,Pseudotsuga menzeseii,Douglas Fir,46.82981,-114.11812,NA,27,0.99654001,23.45,NA,0.00547,8.574040219,2.3,2.35E-05,5.39E-05,5.47E-06,4.28702011,9.860146252,1.46E-05,1.52E-05,166.7275914,565.6612085,93.63449604,9.860146252,0.101418378,1.61E-08,3345.278359,604.1162525,166.7275914,30,208,2022
